17/03/15 19:05:33 INFO client.RMProxy: Connecting to ResourceManager at euca-192-168-166-50.eucalyptus.internal/192.168.166.50:8032
17/03/15 19:05:34 WARN mapreduce.JobSubmitter: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
17/03/15 19:05:35 INFO input.FileInputFormat: Total input paths to process : 1
17/03/15 19:05:35 INFO mapreduce.JobSubmitter: number of splits:269
17/03/15 19:05:36 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1488988448355_1189
17/03/15 19:05:36 INFO impl.YarnClientImpl: Submitted application application_1488988448355_1189
17/03/15 19:05:36 INFO mapreduce.Job: The url to track the job: http://euca-192-168-166-50.eucalyptus.internal:8088/proxy/application_1488988448355_1189/
17/03/15 19:05:36 INFO mapreduce.Job: Running job: job_1488988448355_1189
17/03/15 19:12:57 INFO mapreduce.Job: Job job_1488988448355_1189 running in uber mode : false
17/03/15 19:42:50 INFO mapreduce.Job:  map 62% reduce 20%
17/03/15 19:42:52 INFO mapreduce.Job:  map 62% reduce 21%
17/03/15 19:42:53 INFO mapreduce.Job:  map 63% reduce 21%
17/03/15 19:42:57 INFO mapreduce.Job:  map 64% reduce 21%
17/03/15 19:43:01 INFO mapreduce.Job:  map 65% reduce 21%
17/03/15 19:43:06 INFO mapreduce.Job:  map 66% reduce 21%
17/03/15 19:43:10 INFO mapreduce.Job:  map 66% reduce 22%
17/03/15 19:43:12 INFO mapreduce.Job:  map 67% reduce 22%
17/03/15 19:43:15 INFO mapreduce.Job:  map 68% reduce 22%
17/03/15 19:43:19 INFO mapreduce.Job:  map 69% reduce 22%
17/03/15 19:43:22 INFO mapreduce.Job:  map 69% reduce 23%
17/03/15 19:43:23 INFO mapreduce.Job:  map 70% reduce 23%
17/03/15 19:43:26 INFO mapreduce.Job:  map 71% reduce 23%
17/03/15 19:43:31 INFO mapreduce.Job:  map 72% reduce 24%
17/03/15 19:43:36 INFO mapreduce.Job:  map 73% reduce 24%
17/03/15 19:43:37 INFO mapreduce.Job:  map 74% reduce 24%
17/03/15 19:43:40 INFO mapreduce.Job:  map 75% reduce 24%
17/03/15 19:43:43 INFO mapreduce.Job:  map 75% reduce 25%
17/03/15 19:43:45 INFO mapreduce.Job:  map 76% reduce 25%
17/03/15 19:43:47 INFO mapreduce.Job:  map 77% reduce 25%
17/03/15 19:43:51 INFO mapreduce.Job:  map 78% reduce 25%
17/03/15 19:43:52 INFO mapreduce.Job:  map 78% reduce 26%
17/03/15 19:43:53 INFO mapreduce.Job:  map 79% reduce 26%
17/03/15 19:43:58 INFO mapreduce.Job:  map 80% reduce 26%
17/03/15 19:44:01 INFO mapreduce.Job:  map 81% reduce 26%
17/03/15 19:44:04 INFO mapreduce.Job:  map 82% reduce 27%
17/03/15 19:44:08 INFO mapreduce.Job:  map 83% reduce 27%
17/03/15 19:44:10 INFO mapreduce.Job:  map 83% reduce 28%
17/03/15 19:44:12 INFO mapreduce.Job:  map 84% reduce 28%
17/03/15 19:44:15 INFO mapreduce.Job:  map 85% reduce 28%
17/03/15 19:44:18 INFO mapreduce.Job:  map 86% reduce 28%
17/03/15 19:44:24 INFO mapreduce.Job:  map 87% reduce 28%
17/03/15 19:44:25 INFO mapreduce.Job:  map 87% reduce 29%
17/03/15 19:44:28 INFO mapreduce.Job:  map 88% reduce 29%
17/03/15 19:44:33 INFO mapreduce.Job:  map 89% reduce 29%
17/03/15 19:44:37 INFO mapreduce.Job:  map 90% reduce 29%
17/03/15 19:44:43 INFO mapreduce.Job:  map 91% reduce 30%
17/03/15 19:44:47 INFO mapreduce.Job:  map 92% reduce 30%
17/03/15 19:44:49 INFO mapreduce.Job:  map 93% reduce 30%
17/03/15 19:44:51 INFO mapreduce.Job:  map 94% reduce 30%
17/03/15 19:44:52 INFO mapreduce.Job:  map 94% reduce 31%
17/03/15 19:44:56 INFO mapreduce.Job:  map 95% reduce 31%
17/03/15 19:45:00 INFO mapreduce.Job:  map 96% reduce 31%
17/03/15 19:45:01 INFO mapreduce.Job:  map 96% reduce 32%
17/03/15 19:45:03 INFO mapreduce.Job:  map 97% reduce 32%
17/03/15 19:45:05 INFO mapreduce.Job:  map 98% reduce 32%
17/03/15 19:45:09 INFO mapreduce.Job:  map 99% reduce 32%
17/03/15 19:45:10 INFO mapreduce.Job:  map 99% reduce 33%
17/03/15 19:45:12 INFO mapreduce.Job:  map 100% reduce 33%
17/03/15 19:45:14 INFO mapreduce.Job:  map 100% reduce 100%
17/03/15 19:45:15 INFO mapreduce.Job: Job job_1488988448355_1189 completed successfully
17/03/15 19:45:16 INFO mapreduce.Job: Counters: 51
	File System Counters
		FILE: Number of bytes read=633
		FILE: Number of bytes written=26499073
		FILE: Number of read operations=0
		FILE: Number of large read operations=0
		FILE: Number of write operations=0
		HDFS: Number of bytes read=36100239488
		HDFS: Number of bytes written=46
		HDFS: Number of read operations=810
		HDFS: Number of large read operations=0
		HDFS: Number of write operations=2
	Job Counters 
		Killed map tasks=1
		Launched map tasks=270
		Launched reduce tasks=1
		Data-local map tasks=269
		Rack-local map tasks=1
		Total time spent by all maps in occupied slots (ms)=19515840
		Total time spent by all reduces in occupied slots (ms)=1227264
		Total time spent by all map tasks (ms)=4878960
		Total time spent by all reduce tasks (ms)=306816
		Total vcore-seconds taken by all map tasks=4878960
		Total vcore-seconds taken by all reduce tasks=306816
		Total megabyte-seconds taken by all map tasks=19984220160
		Total megabyte-seconds taken by all reduce tasks=1256718336
	Map-Reduce Framework
		Map input records=163661993
		Map output records=148281528
		Map output bytes=1334533752
		Map output materialized bytes=9977
		Input split bytes=39005
		Combine input records=148281528
		Combine output records=272
		Reduce input groups=4
		Reduce shuffle bytes=9977
		Reduce input records=272
		Reduce output records=4
		Spilled Records=544
		Shuffled Maps =269
		Failed Shuffles=0
		Merged Map outputs=269
		GC time elapsed (ms)=73792
		CPU time spent (ms)=1150140
		Physical memory (bytes) snapshot=121781256192
		Virtual memory (bytes) snapshot=1055127662592
		Total committed heap usage (bytes)=143056175104
	Shuffle Errors
		BAD_ID=0
		CONNECTION=0
		IO_ERROR=0
		WRONG_LENGTH=0
		WRONG_MAP=0
		WRONG_REDUCE=0
	File Input Format Counters 
		Bytes Read=36100200483
	File Output Format Counters 
		Bytes Written=46
