17/03/18 15:06:48 INFO client.RMProxy: Connecting to ResourceManager at euca-192-168-166-50.eucalyptus.internal/192.168.166.50:8032
17/03/18 15:06:49 WARN mapreduce.JobSubmitter: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
17/03/18 15:06:50 INFO input.FileInputFormat: Total input paths to process : 1
17/03/18 15:06:51 INFO mapreduce.JobSubmitter: number of splits:20
17/03/18 15:06:51 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1488988448355_2476
17/03/18 15:06:52 INFO impl.YarnClientImpl: Submitted application application_1488988448355_2476
17/03/18 15:06:52 INFO mapreduce.Job: The url to track the job: http://euca-192-168-166-50.eucalyptus.internal:8088/proxy/application_1488988448355_2476/
17/03/18 15:06:52 INFO mapreduce.Job: Running job: job_1488988448355_2476
17/03/18 16:25:09 INFO mapreduce.Job: Job job_1488988448355_2476 running in uber mode : false
17/03/18 16:32:53 INFO mapreduce.Job:  map 67% reduce 18%
17/03/18 16:32:57 INFO mapreduce.Job:  map 68% reduce 18%
17/03/18 16:33:00 INFO mapreduce.Job:  map 69% reduce 18%
17/03/18 16:33:04 INFO mapreduce.Job:  map 69% reduce 20%
17/03/18 16:33:06 INFO mapreduce.Job:  map 70% reduce 20%
17/03/18 16:33:13 INFO mapreduce.Job:  map 71% reduce 20%
17/03/18 16:33:20 INFO mapreduce.Job:  map 72% reduce 20%
17/03/18 16:33:25 INFO mapreduce.Job:  map 73% reduce 20%
17/03/18 16:33:29 INFO mapreduce.Job:  map 74% reduce 20%
17/03/18 16:33:33 INFO mapreduce.Job:  map 75% reduce 20%
17/03/18 16:33:36 INFO mapreduce.Job:  map 76% reduce 20%
17/03/18 16:33:39 INFO mapreduce.Job:  map 77% reduce 20%
17/03/18 16:33:40 INFO mapreduce.Job:  map 77% reduce 22%
17/03/18 16:33:42 INFO mapreduce.Job:  map 78% reduce 22%
17/03/18 16:33:46 INFO mapreduce.Job:  map 78% reduce 23%
17/03/18 16:33:51 INFO mapreduce.Job:  map 79% reduce 23%
17/03/18 16:34:02 INFO mapreduce.Job:  map 80% reduce 23%
17/03/18 16:34:12 INFO mapreduce.Job:  map 81% reduce 23%
17/03/18 16:34:21 INFO mapreduce.Job:  map 82% reduce 23%
17/03/18 16:34:30 INFO mapreduce.Job:  map 83% reduce 23%
17/03/18 16:34:39 INFO mapreduce.Job:  map 84% reduce 23%
17/03/18 16:34:42 INFO mapreduce.Job:  map 85% reduce 23%
17/03/18 16:34:46 INFO mapreduce.Job:  map 86% reduce 23%
17/03/18 16:34:49 INFO mapreduce.Job:  map 86% reduce 25%
17/03/18 16:34:54 INFO mapreduce.Job:  map 87% reduce 25%
17/03/18 16:35:00 INFO mapreduce.Job:  map 88% reduce 25%
17/03/18 16:35:02 INFO mapreduce.Job:  map 89% reduce 25%
17/03/18 16:35:04 INFO mapreduce.Job:  map 89% reduce 27%
17/03/18 16:35:06 INFO mapreduce.Job:  map 90% reduce 27%
17/03/18 16:35:15 INFO mapreduce.Job:  map 91% reduce 27%
17/03/18 16:35:24 INFO mapreduce.Job:  map 92% reduce 27%
17/03/18 16:35:30 INFO mapreduce.Job:  map 93% reduce 27%
17/03/18 16:35:36 INFO mapreduce.Job:  map 94% reduce 27%
17/03/18 16:35:38 INFO mapreduce.Job:  map 95% reduce 27%
17/03/18 16:35:41 INFO mapreduce.Job:  map 95% reduce 28%
17/03/18 16:35:42 INFO mapreduce.Job:  map 96% reduce 28%
17/03/18 16:35:47 INFO mapreduce.Job:  map 96% reduce 30%
17/03/18 16:35:52 INFO mapreduce.Job:  map 97% reduce 30%
17/03/18 16:36:01 INFO mapreduce.Job:  map 98% reduce 30%
17/03/18 16:36:05 INFO mapreduce.Job:  map 99% reduce 30%
17/03/18 16:36:09 INFO mapreduce.Job:  map 100% reduce 32%
17/03/18 16:36:15 INFO mapreduce.Job:  map 100% reduce 35%
17/03/18 16:36:18 INFO mapreduce.Job:  map 100% reduce 37%
17/03/18 16:36:21 INFO mapreduce.Job:  map 100% reduce 39%
17/03/18 16:36:24 INFO mapreduce.Job:  map 100% reduce 41%
17/03/18 16:36:27 INFO mapreduce.Job:  map 100% reduce 43%
17/03/18 16:36:30 INFO mapreduce.Job:  map 100% reduce 45%
17/03/18 16:36:33 INFO mapreduce.Job:  map 100% reduce 47%
17/03/18 16:36:36 INFO mapreduce.Job:  map 100% reduce 49%
17/03/18 16:36:39 INFO mapreduce.Job:  map 100% reduce 52%
17/03/18 16:36:42 INFO mapreduce.Job:  map 100% reduce 54%
17/03/18 16:36:45 INFO mapreduce.Job:  map 100% reduce 56%
17/03/18 16:36:48 INFO mapreduce.Job:  map 100% reduce 58%
17/03/18 16:36:51 INFO mapreduce.Job:  map 100% reduce 60%
17/03/18 16:36:54 INFO mapreduce.Job:  map 100% reduce 62%
17/03/18 16:36:57 INFO mapreduce.Job:  map 100% reduce 64%
17/03/18 16:37:00 INFO mapreduce.Job:  map 100% reduce 66%
17/03/18 16:37:03 INFO mapreduce.Job:  map 100% reduce 67%
17/03/18 16:37:06 INFO mapreduce.Job:  map 100% reduce 68%
17/03/18 16:37:12 INFO mapreduce.Job:  map 100% reduce 69%
17/03/18 16:37:15 INFO mapreduce.Job:  map 100% reduce 70%
17/03/18 16:37:18 INFO mapreduce.Job:  map 100% reduce 71%
17/03/18 16:37:24 INFO mapreduce.Job:  map 100% reduce 72%
17/03/18 16:37:27 INFO mapreduce.Job:  map 100% reduce 73%
17/03/18 16:37:34 INFO mapreduce.Job:  map 100% reduce 74%
17/03/18 16:37:37 INFO mapreduce.Job:  map 100% reduce 75%
17/03/18 16:37:40 INFO mapreduce.Job:  map 100% reduce 76%
17/03/18 16:37:46 INFO mapreduce.Job:  map 100% reduce 77%
17/03/18 16:37:49 INFO mapreduce.Job:  map 100% reduce 78%
17/03/18 16:37:52 INFO mapreduce.Job:  map 100% reduce 79%
17/03/18 16:37:58 INFO mapreduce.Job:  map 100% reduce 80%
17/03/18 16:38:01 INFO mapreduce.Job:  map 100% reduce 81%
17/03/18 16:38:04 INFO mapreduce.Job:  map 100% reduce 82%
17/03/18 16:38:10 INFO mapreduce.Job:  map 100% reduce 83%
17/03/18 16:38:13 INFO mapreduce.Job:  map 100% reduce 84%
17/03/18 16:38:16 INFO mapreduce.Job:  map 100% reduce 85%
17/03/18 16:38:22 INFO mapreduce.Job:  map 100% reduce 86%
17/03/18 16:38:25 INFO mapreduce.Job:  map 100% reduce 87%
17/03/18 16:38:31 INFO mapreduce.Job:  map 100% reduce 88%
17/03/18 16:38:34 INFO mapreduce.Job:  map 100% reduce 89%
17/03/18 16:38:37 INFO mapreduce.Job:  map 100% reduce 90%
17/03/18 16:38:43 INFO mapreduce.Job:  map 100% reduce 91%
17/03/18 16:38:49 INFO mapreduce.Job:  map 100% reduce 92%
17/03/18 16:38:52 INFO mapreduce.Job:  map 100% reduce 93%
17/03/18 16:38:58 INFO mapreduce.Job:  map 100% reduce 94%
17/03/18 16:39:01 INFO mapreduce.Job:  map 100% reduce 95%
17/03/18 16:39:07 INFO mapreduce.Job:  map 100% reduce 96%
17/03/18 16:39:10 INFO mapreduce.Job:  map 100% reduce 97%
17/03/18 16:39:16 INFO mapreduce.Job:  map 100% reduce 98%
17/03/18 16:39:19 INFO mapreduce.Job:  map 100% reduce 99%
17/03/18 16:39:22 INFO mapreduce.Job:  map 100% reduce 100%
17/03/18 16:39:25 INFO mapreduce.Job: Job job_1488988448355_2476 completed successfully
17/03/18 16:39:26 INFO mapreduce.Job: Counters: 50
	File System Counters
		FILE: Number of bytes read=3262193952
		FILE: Number of bytes written=4895348337
		FILE: Number of read operations=0
		FILE: Number of large read operations=0
		FILE: Number of write operations=0
		HDFS: Number of bytes read=2694804845
		HDFS: Number of bytes written=36
		HDFS: Number of read operations=63
		HDFS: Number of large read operations=0
		HDFS: Number of write operations=2
	Job Counters 
		Killed map tasks=4
		Launched map tasks=24
		Launched reduce tasks=1
		Data-local map tasks=24
		Total time spent by all maps in occupied slots (ms)=18871868
		Total time spent by all reduces in occupied slots (ms)=2178124
		Total time spent by all map tasks (ms)=4717967
		Total time spent by all reduce tasks (ms)=544531
		Total vcore-seconds taken by all map tasks=4717967
		Total vcore-seconds taken by all reduce tasks=544531
		Total megabyte-seconds taken by all map tasks=19324792832
		Total megabyte-seconds taken by all reduce tasks=2230398976
	Map-Reduce Framework
		Map input records=163661993
		Map output records=148281528
		Map output bytes=1334533752
		Map output materialized bytes=1631096928
		Input split bytes=2980
		Combine input records=0
		Combine output records=0
		Reduce input groups=4
		Reduce shuffle bytes=1631096928
		Reduce input records=148281528
		Reduce output records=4
		Spilled Records=444844584
		Shuffled Maps =20
		Failed Shuffles=0
		Merged Map outputs=20
		GC time elapsed (ms)=22913
		CPU time spent (ms)=3165240
		Physical memory (bytes) snapshot=16343363584
		Virtual memory (bytes) snapshot=82178068480
		Total committed heap usage (bytes)=15601238016
	Shuffle Errors
		BAD_ID=0
		CONNECTION=0
		IO_ERROR=0
		WRONG_LENGTH=0
		WRONG_MAP=0
		WRONG_REDUCE=0
	File Input Format Counters 
		Bytes Read=2694801865
	File Output Format Counters 
		Bytes Written=36
