17/03/15 22:11:15 INFO client.RMProxy: Connecting to ResourceManager at euca-192-168-166-50.eucalyptus.internal/192.168.166.50:8032
17/03/15 22:11:16 WARN mapreduce.JobSubmitter: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
17/03/15 22:11:16 INFO input.FileInputFormat: Total input paths to process : 1
17/03/15 22:11:17 INFO mapreduce.JobSubmitter: number of splits:269
17/03/15 22:11:17 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1488988448355_1249
17/03/15 22:11:18 INFO impl.YarnClientImpl: Submitted application application_1488988448355_1249
17/03/15 22:11:18 INFO mapreduce.Job: The url to track the job: http://euca-192-168-166-50.eucalyptus.internal:8088/proxy/application_1488988448355_1249/
17/03/15 22:11:18 INFO mapreduce.Job: Running job: job_1488988448355_1249
17/03/16 01:28:24 INFO mapreduce.Job: Job job_1488988448355_1249 running in uber mode : false
17/03/16 01:36:53 INFO mapreduce.Job:  map 60% reduce 19%
17/03/16 01:36:54 INFO mapreduce.Job:  map 60% reduce 20%
17/03/16 01:36:57 INFO mapreduce.Job:  map 61% reduce 20%
17/03/16 01:37:03 INFO mapreduce.Job:  map 62% reduce 20%
17/03/16 01:37:06 INFO mapreduce.Job:  map 63% reduce 20%
17/03/16 01:37:09 INFO mapreduce.Job:  map 63% reduce 21%
17/03/16 01:37:11 INFO mapreduce.Job:  map 64% reduce 21%
17/03/16 01:37:17 INFO mapreduce.Job:  map 65% reduce 21%
17/03/16 01:37:18 INFO mapreduce.Job:  map 65% reduce 22%
17/03/16 01:37:20 INFO mapreduce.Job:  map 66% reduce 22%
17/03/16 01:37:25 INFO mapreduce.Job:  map 67% reduce 22%
17/03/16 01:37:27 INFO mapreduce.Job:  map 68% reduce 22%
17/03/16 01:37:30 INFO mapreduce.Job:  map 68% reduce 23%
17/03/16 01:37:31 INFO mapreduce.Job:  map 69% reduce 23%
17/03/16 01:37:37 INFO mapreduce.Job:  map 70% reduce 23%
17/03/16 01:37:42 INFO mapreduce.Job:  map 71% reduce 23%
17/03/16 01:37:43 INFO mapreduce.Job:  map 71% reduce 24%
17/03/16 01:37:45 INFO mapreduce.Job:  map 72% reduce 24%
17/03/16 01:37:51 INFO mapreduce.Job:  map 73% reduce 24%
17/03/16 01:37:54 INFO mapreduce.Job:  map 74% reduce 24%
17/03/16 01:38:02 INFO mapreduce.Job:  map 75% reduce 24%
17/03/16 01:38:03 INFO mapreduce.Job:  map 76% reduce 24%
17/03/16 01:38:04 INFO mapreduce.Job:  map 76% reduce 25%
17/03/16 01:38:08 INFO mapreduce.Job:  map 77% reduce 25%
17/03/16 01:38:12 INFO mapreduce.Job:  map 78% reduce 25%
17/03/16 01:38:13 INFO mapreduce.Job:  map 78% reduce 26%
17/03/16 01:38:15 INFO mapreduce.Job:  map 79% reduce 26%
17/03/16 01:38:20 INFO mapreduce.Job:  map 80% reduce 26%
17/03/16 01:38:22 INFO mapreduce.Job:  map 81% reduce 27%
17/03/16 01:38:24 INFO mapreduce.Job:  map 82% reduce 27%
17/03/16 01:38:29 INFO mapreduce.Job:  map 83% reduce 27%
17/03/16 01:38:31 INFO mapreduce.Job:  map 83% reduce 28%
17/03/16 01:38:32 INFO mapreduce.Job:  map 84% reduce 28%
17/03/16 01:38:34 INFO mapreduce.Job:  map 85% reduce 28%
17/03/16 01:38:39 INFO mapreduce.Job:  map 86% reduce 28%
17/03/16 01:38:41 INFO mapreduce.Job:  map 86% reduce 29%
17/03/16 01:38:43 INFO mapreduce.Job:  map 87% reduce 29%
17/03/16 01:38:44 INFO mapreduce.Job:  map 88% reduce 29%
17/03/16 01:38:47 INFO mapreduce.Job:  map 89% reduce 29%
17/03/16 01:38:52 INFO mapreduce.Job:  map 90% reduce 29%
17/03/16 01:38:53 INFO mapreduce.Job:  map 90% reduce 30%
17/03/16 01:38:55 INFO mapreduce.Job:  map 91% reduce 30%
17/03/16 01:38:58 INFO mapreduce.Job:  map 92% reduce 30%
17/03/16 01:39:01 INFO mapreduce.Job:  map 93% reduce 30%
17/03/16 01:39:02 INFO mapreduce.Job:  map 94% reduce 31%
17/03/16 01:39:09 INFO mapreduce.Job:  map 95% reduce 31%
17/03/16 01:39:12 INFO mapreduce.Job:  map 96% reduce 31%
17/03/16 01:39:13 INFO mapreduce.Job:  map 97% reduce 31%
17/03/16 01:39:14 INFO mapreduce.Job:  map 98% reduce 32%
17/03/16 01:39:16 INFO mapreduce.Job:  map 99% reduce 32%
17/03/16 01:39:17 INFO mapreduce.Job:  map 99% reduce 33%
17/03/16 01:39:24 INFO mapreduce.Job:  map 100% reduce 33%
17/03/16 01:39:40 INFO mapreduce.Job:  map 100% reduce 100%
17/03/16 01:39:41 INFO mapreduce.Job: Job job_1488988448355_1249 completed successfully
17/03/16 01:39:41 INFO mapreduce.Job: Counters: 49
	File System Counters
		FILE: Number of bytes read=631
		FILE: Number of bytes written=26502766
		FILE: Number of read operations=0
		FILE: Number of large read operations=0
		FILE: Number of write operations=0
		HDFS: Number of bytes read=36100239488
		HDFS: Number of bytes written=36
		HDFS: Number of read operations=810
		HDFS: Number of large read operations=0
		HDFS: Number of write operations=2
	Job Counters 
		Launched map tasks=269
		Launched reduce tasks=1
		Data-local map tasks=269
		Total time spent by all maps in occupied slots (ms)=21186008
		Total time spent by all reduces in occupied slots (ms)=1677856
		Total time spent by all map tasks (ms)=5296502
		Total time spent by all reduce tasks (ms)=419464
		Total vcore-seconds taken by all map tasks=5296502
		Total vcore-seconds taken by all reduce tasks=419464
		Total megabyte-seconds taken by all map tasks=21694472192
		Total megabyte-seconds taken by all reduce tasks=1718124544
	Map-Reduce Framework
		Map input records=163661993
		Map output records=148281528
		Map output bytes=1334533752
		Map output materialized bytes=9977
		Input split bytes=39005
		Combine input records=148281528
		Combine output records=272
		Reduce input groups=4
		Reduce shuffle bytes=9977
		Reduce input records=272
		Reduce output records=4
		Spilled Records=544
		Shuffled Maps =269
		Failed Shuffles=0
		Merged Map outputs=269
		GC time elapsed (ms)=74479
		CPU time spent (ms)=1172580
		Physical memory (bytes) snapshot=118663704576
		Virtual memory (bytes) snapshot=1055233925120
		Total committed heap usage (bytes)=140411142144
	Shuffle Errors
		BAD_ID=0
		CONNECTION=0
		IO_ERROR=0
		WRONG_LENGTH=0
		WRONG_MAP=0
		WRONG_REDUCE=0
	File Input Format Counters 
		Bytes Read=36100200483
	File Output Format Counters 
		Bytes Written=36
