17/03/15 22:04:31 INFO client.RMProxy: Connecting to ResourceManager at euca-192-168-166-50.eucalyptus.internal/192.168.166.50:8032
17/03/15 22:04:33 WARN mapreduce.JobSubmitter: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
17/03/15 22:04:34 INFO input.FileInputFormat: Total input paths to process : 1
17/03/15 22:04:35 INFO mapreduce.JobSubmitter: number of splits:132
17/03/15 22:04:35 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1488988448355_1237
17/03/15 22:04:36 INFO impl.YarnClientImpl: Submitted application application_1488988448355_1237
17/03/15 22:04:36 INFO mapreduce.Job: The url to track the job: http://euca-192-168-166-50.eucalyptus.internal:8088/proxy/application_1488988448355_1237/
17/03/15 22:04:36 INFO mapreduce.Job: Running job: job_1488988448355_1237
17/03/16 00:46:04 INFO mapreduce.Job: Job job_1488988448355_1237 running in uber mode : false
17/03/16 00:46:04 INFO mapreduce.Job:  map 0% reduce 0%
17/03/16 00:51:12 INFO mapreduce.Job:  map 1% reduce 0%
17/03/16 00:51:17 INFO mapreduce.Job:  map 2% reduce 0%
17/03/16 00:51:21 INFO mapreduce.Job:  map 3% reduce 0%
17/03/16 00:51:28 INFO mapreduce.Job:  map 4% reduce 0%
17/03/16 00:51:29 INFO mapreduce.Job:  map 5% reduce 0%
17/03/16 00:51:39 INFO mapreduce.Job:  map 6% reduce 0%
17/03/16 00:51:40 INFO mapreduce.Job:  map 7% reduce 0%
17/03/16 00:51:41 INFO mapreduce.Job:  map 8% reduce 0%
17/03/16 00:51:50 INFO mapreduce.Job:  map 9% reduce 0%
17/03/16 00:51:53 INFO mapreduce.Job:  map 10% reduce 0%
17/03/16 00:51:55 INFO mapreduce.Job:  map 11% reduce 0%
17/03/16 00:51:59 INFO mapreduce.Job:  map 12% reduce 0%
17/03/16 00:52:02 INFO mapreduce.Job:  map 13% reduce 0%
17/03/16 00:52:04 INFO mapreduce.Job:  map 14% reduce 0%
17/03/16 00:52:06 INFO mapreduce.Job:  map 14% reduce 5%
17/03/16 00:52:08 INFO mapreduce.Job:  map 15% reduce 5%
17/03/16 00:52:13 INFO mapreduce.Job:  map 16% reduce 5%
17/03/16 00:52:17 INFO mapreduce.Job:  map 17% reduce 5%
17/03/16 00:52:20 INFO mapreduce.Job:  map 18% reduce 5%
17/03/16 00:52:23 INFO mapreduce.Job:  map 19% reduce 5%
17/03/16 00:52:26 INFO mapreduce.Job:  map 20% reduce 5%
17/03/16 00:52:27 INFO mapreduce.Job:  map 20% reduce 6%
17/03/16 00:52:29 INFO mapreduce.Job:  map 21% reduce 6%
17/03/16 00:52:32 INFO mapreduce.Job:  map 22% reduce 6%
17/03/16 00:52:33 INFO mapreduce.Job:  map 22% reduce 7%
17/03/16 00:52:36 INFO mapreduce.Job:  map 23% reduce 7%
17/03/16 00:52:39 INFO mapreduce.Job:  map 24% reduce 7%
17/03/16 00:52:42 INFO mapreduce.Job:  map 24% reduce 8%
17/03/16 00:52:43 INFO mapreduce.Job:  map 25% reduce 8%
17/03/16 00:52:48 INFO mapreduce.Job:  map 26% reduce 8%
17/03/16 00:52:54 INFO mapreduce.Job:  map 27% reduce 8%
17/03/16 00:52:58 INFO mapreduce.Job:  map 28% reduce 8%
17/03/16 00:53:01 INFO mapreduce.Job:  map 29% reduce 8%
17/03/16 00:53:03 INFO mapreduce.Job:  map 29% reduce 9%
17/03/16 00:53:04 INFO mapreduce.Job:  map 30% reduce 9%
17/03/16 00:53:08 INFO mapreduce.Job:  map 31% reduce 9%
17/03/16 00:53:13 INFO mapreduce.Job:  map 32% reduce 9%
17/03/16 00:53:15 INFO mapreduce.Job:  map 33% reduce 10%
17/03/16 00:53:17 INFO mapreduce.Job:  map 34% reduce 10%
17/03/16 00:53:18 INFO mapreduce.Job:  map 34% reduce 11%
17/03/16 00:53:19 INFO mapreduce.Job:  map 35% reduce 11%
17/03/16 00:53:25 INFO mapreduce.Job:  map 36% reduce 11%
17/03/16 00:53:27 INFO mapreduce.Job:  map 37% reduce 11%
17/03/16 00:53:30 INFO mapreduce.Job:  map 38% reduce 12%
17/03/16 00:53:33 INFO mapreduce.Job:  map 39% reduce 12%
17/03/16 00:53:38 INFO mapreduce.Job:  map 40% reduce 12%
17/03/16 00:53:39 INFO mapreduce.Job:  map 40% reduce 13%
17/03/16 00:53:42 INFO mapreduce.Job:  map 41% reduce 13%
17/03/16 00:53:44 INFO mapreduce.Job:  map 42% reduce 13%
17/03/16 00:53:51 INFO mapreduce.Job:  map 43% reduce 13%
17/03/16 00:53:52 INFO mapreduce.Job:  map 44% reduce 13%
17/03/16 00:53:54 INFO mapreduce.Job:  map 44% reduce 14%
17/03/16 00:53:55 INFO mapreduce.Job:  map 45% reduce 14%
17/03/16 00:53:59 INFO mapreduce.Job:  map 46% reduce 14%
17/03/16 00:54:01 INFO mapreduce.Job:  map 47% reduce 14%
17/03/16 00:54:03 INFO mapreduce.Job:  map 47% reduce 15%
17/03/16 00:54:05 INFO mapreduce.Job:  map 48% reduce 15%
17/03/16 00:54:06 INFO mapreduce.Job:  map 48% reduce 16%
17/03/16 00:54:08 INFO mapreduce.Job:  map 49% reduce 16%
17/03/16 00:54:13 INFO mapreduce.Job:  map 50% reduce 16%
17/03/16 00:54:16 INFO mapreduce.Job:  map 51% reduce 16%
17/03/16 00:54:20 INFO mapreduce.Job:  map 52% reduce 16%
17/03/16 00:54:26 INFO mapreduce.Job:  map 53% reduce 16%
17/03/16 00:54:28 INFO mapreduce.Job:  map 54% reduce 16%
17/03/16 00:54:30 INFO mapreduce.Job:  map 54% reduce 17%
17/03/16 00:54:32 INFO mapreduce.Job:  map 55% reduce 17%
17/03/16 00:54:34 INFO mapreduce.Job:  map 56% reduce 17%
17/03/16 00:54:36 INFO mapreduce.Job:  map 56% reduce 18%
17/03/16 00:54:37 INFO mapreduce.Job:  map 57% reduce 18%
17/03/16 00:54:38 INFO mapreduce.Job:  map 58% reduce 18%
17/03/16 00:54:39 INFO mapreduce.Job:  map 59% reduce 19%
17/03/16 00:54:42 INFO mapreduce.Job:  map 60% reduce 19%
17/03/16 00:54:43 INFO mapreduce.Job:  map 60% reduce 20%
17/03/16 00:54:47 INFO mapreduce.Job:  map 61% reduce 20%
17/03/16 00:54:50 INFO mapreduce.Job:  map 62% reduce 20%
17/03/16 00:54:56 INFO mapreduce.Job:  map 63% reduce 20%
17/03/16 00:55:01 INFO mapreduce.Job:  map 64% reduce 20%
17/03/16 00:55:07 INFO mapreduce.Job:  map 65% reduce 20%
17/03/16 00:55:08 INFO mapreduce.Job:  map 66% reduce 20%
17/03/16 00:55:10 INFO mapreduce.Job:  map 66% reduce 21%
17/03/16 00:55:13 INFO mapreduce.Job:  map 67% reduce 21%
17/03/16 00:55:16 INFO mapreduce.Job:  map 67% reduce 22%
17/03/16 00:55:18 INFO mapreduce.Job:  map 68% reduce 22%
17/03/16 00:55:20 INFO mapreduce.Job:  map 69% reduce 22%
17/03/16 00:55:24 INFO mapreduce.Job:  map 70% reduce 22%
17/03/16 00:55:25 INFO mapreduce.Job:  map 70% reduce 23%
17/03/16 00:55:27 INFO mapreduce.Job:  map 71% reduce 23%
17/03/16 00:55:29 INFO mapreduce.Job:  map 72% reduce 23%
17/03/16 00:55:33 INFO mapreduce.Job:  map 73% reduce 23%
17/03/16 00:55:37 INFO mapreduce.Job:  map 74% reduce 24%
17/03/16 00:55:41 INFO mapreduce.Job:  map 75% reduce 24%
17/03/16 00:55:45 INFO mapreduce.Job:  map 76% reduce 24%
17/03/16 00:55:49 INFO mapreduce.Job:  map 77% reduce 25%
17/03/16 00:55:53 INFO mapreduce.Job:  map 78% reduce 25%
17/03/16 00:55:59 INFO mapreduce.Job:  map 79% reduce 25%
17/03/16 00:56:02 INFO mapreduce.Job:  map 80% reduce 25%
17/03/16 00:56:04 INFO mapreduce.Job:  map 80% reduce 26%
17/03/16 00:56:06 INFO mapreduce.Job:  map 81% reduce 26%
17/03/16 00:56:09 INFO mapreduce.Job:  map 82% reduce 26%
