17/03/15 22:07:01 INFO client.RMProxy: Connecting to ResourceManager at euca-192-168-166-50.eucalyptus.internal/192.168.166.50:8032
17/03/15 22:07:03 WARN mapreduce.JobSubmitter: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
17/03/15 22:07:03 INFO input.FileInputFormat: Total input paths to process : 1
17/03/15 22:07:04 INFO mapreduce.JobSubmitter: number of splits:132
17/03/15 22:07:04 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1488988448355_1243
17/03/15 22:07:05 INFO impl.YarnClientImpl: Submitted application application_1488988448355_1243
17/03/15 22:07:05 INFO mapreduce.Job: The url to track the job: http://euca-192-168-166-50.eucalyptus.internal:8088/proxy/application_1488988448355_1243/
17/03/15 22:07:05 INFO mapreduce.Job: Running job: job_1488988448355_1243
17/03/16 01:04:34 INFO mapreduce.Job: Job job_1488988448355_1243 running in uber mode : false
17/03/16 01:04:34 INFO mapreduce.Job:  map 0% reduce 0%
17/03/16 01:05:28 INFO mapreduce.Job:  map 1% reduce 0%
17/03/16 01:05:34 INFO mapreduce.Job:  map 2% reduce 0%
17/03/16 01:05:42 INFO mapreduce.Job:  map 3% reduce 0%
17/03/16 01:05:51 INFO mapreduce.Job:  map 4% reduce 0%
17/03/16 01:05:58 INFO mapreduce.Job:  map 5% reduce 0%
17/03/16 01:06:01 INFO mapreduce.Job:  map 6% reduce 0%
17/03/16 01:06:03 INFO mapreduce.Job:  map 7% reduce 0%
17/03/16 01:06:14 INFO mapreduce.Job:  map 8% reduce 0%
17/03/16 01:06:15 INFO mapreduce.Job:  map 9% reduce 0%
17/03/16 01:06:17 INFO mapreduce.Job:  map 10% reduce 0%
17/03/16 01:06:25 INFO mapreduce.Job:  map 11% reduce 0%
17/03/16 01:06:32 INFO mapreduce.Job:  map 12% reduce 0%
17/03/16 01:06:33 INFO mapreduce.Job:  map 13% reduce 0%
17/03/16 01:06:37 INFO mapreduce.Job:  map 14% reduce 0%
17/03/16 01:06:46 INFO mapreduce.Job:  map 15% reduce 0%
17/03/16 01:06:49 INFO mapreduce.Job:  map 16% reduce 0%
17/03/16 01:06:51 INFO mapreduce.Job:  map 17% reduce 0%
17/03/16 01:06:55 INFO mapreduce.Job:  map 18% reduce 0%
17/03/16 01:07:01 INFO mapreduce.Job:  map 19% reduce 6%
17/03/16 01:07:07 INFO mapreduce.Job:  map 20% reduce 6%
17/03/16 01:07:09 INFO mapreduce.Job:  map 21% reduce 6%
17/03/16 01:07:10 INFO mapreduce.Job:  map 21% reduce 7%
17/03/16 01:07:16 INFO mapreduce.Job:  map 22% reduce 7%
17/03/16 01:07:22 INFO mapreduce.Job:  map 23% reduce 7%
17/03/16 01:07:23 INFO mapreduce.Job:  map 24% reduce 7%
17/03/16 01:07:25 INFO mapreduce.Job:  map 25% reduce 8%
17/03/16 01:07:26 INFO mapreduce.Job:  map 26% reduce 8%
17/03/16 01:07:28 INFO mapreduce.Job:  map 26% reduce 9%
17/03/16 01:07:35 INFO mapreduce.Job:  map 27% reduce 9%
17/03/16 01:07:37 INFO mapreduce.Job:  map 28% reduce 9%
17/03/16 01:07:38 INFO mapreduce.Job:  map 29% reduce 9%
17/03/16 01:07:44 INFO mapreduce.Job:  map 30% reduce 9%
17/03/16 01:07:45 INFO mapreduce.Job:  map 30% reduce 10%
17/03/16 01:07:49 INFO mapreduce.Job:  map 31% reduce 10%
17/03/16 01:07:51 INFO mapreduce.Job:  map 33% reduce 10%
17/03/16 01:07:54 INFO mapreduce.Job:  map 33% reduce 11%
17/03/16 01:07:58 INFO mapreduce.Job:  map 34% reduce 11%
17/03/16 01:08:00 INFO mapreduce.Job:  map 35% reduce 11%
17/03/16 01:08:03 INFO mapreduce.Job:  map 36% reduce 11%
17/03/16 01:08:06 INFO mapreduce.Job:  map 37% reduce 12%
17/03/16 01:08:09 INFO mapreduce.Job:  map 38% reduce 12%
17/03/16 01:08:12 INFO mapreduce.Job:  map 39% reduce 12%
17/03/16 01:08:17 INFO mapreduce.Job:  map 40% reduce 12%
17/03/16 01:08:19 INFO mapreduce.Job:  map 41% reduce 12%
17/03/16 01:08:21 INFO mapreduce.Job:  map 41% reduce 13%
17/03/16 01:08:22 INFO mapreduce.Job:  map 42% reduce 13%
17/03/16 01:08:26 INFO mapreduce.Job:  map 43% reduce 13%
17/03/16 01:08:30 INFO mapreduce.Job:  map 45% reduce 14%
17/03/16 01:08:32 INFO mapreduce.Job:  map 46% reduce 14%
17/03/16 01:08:33 INFO mapreduce.Job:  map 46% reduce 15%
17/03/16 01:08:35 INFO mapreduce.Job:  map 47% reduce 15%
17/03/16 01:08:36 INFO mapreduce.Job:  map 48% reduce 15%
17/03/16 01:08:38 INFO mapreduce.Job:  map 49% reduce 15%
17/03/16 01:08:39 INFO mapreduce.Job:  map 50% reduce 16%
17/03/16 01:08:40 INFO mapreduce.Job:  map 51% reduce 16%
