17/03/16 20:01:23 INFO client.RMProxy: Connecting to ResourceManager at euca-192-168-166-50.eucalyptus.internal/192.168.166.50:8032
17/03/16 20:01:25 WARN mapreduce.JobSubmitter: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
17/03/16 20:01:27 INFO input.FileInputFormat: Total input paths to process : 1
17/03/16 20:01:27 INFO mapreduce.JobSubmitter: number of splits:269
17/03/16 20:01:28 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1488988448355_1637
17/03/16 20:01:28 INFO impl.YarnClientImpl: Submitted application application_1488988448355_1637
17/03/16 20:01:29 INFO mapreduce.Job: The url to track the job: http://euca-192-168-166-50.eucalyptus.internal:8088/proxy/application_1488988448355_1637/
17/03/16 20:01:29 INFO mapreduce.Job: Running job: job_1488988448355_1637
17/03/17 00:43:50 INFO mapreduce.Job: Job job_1488988448355_1637 running in uber mode : false
17/03/17 01:05:13 INFO mapreduce.Job:  map 63% reduce 21%
17/03/17 01:05:14 INFO mapreduce.Job:  map 64% reduce 21%
17/03/17 01:05:19 INFO mapreduce.Job:  map 65% reduce 21%
17/03/17 01:05:26 INFO mapreduce.Job:  map 66% reduce 21%
17/03/17 01:05:30 INFO mapreduce.Job:  map 67% reduce 21%
17/03/17 01:05:31 INFO mapreduce.Job:  map 67% reduce 22%
17/03/17 01:05:37 INFO mapreduce.Job:  map 68% reduce 22%
17/03/17 01:05:45 INFO mapreduce.Job:  map 69% reduce 22%
17/03/17 01:05:53 INFO mapreduce.Job:  map 70% reduce 22%
17/03/17 01:05:55 INFO mapreduce.Job:  map 70% reduce 23%
17/03/17 01:05:58 INFO mapreduce.Job:  map 71% reduce 23%
17/03/17 01:06:03 INFO mapreduce.Job:  map 72% reduce 23%
17/03/17 01:06:07 INFO mapreduce.Job:  map 73% reduce 24%
17/03/17 01:06:12 INFO mapreduce.Job:  map 74% reduce 24%
17/03/17 01:06:19 INFO mapreduce.Job:  map 75% reduce 24%
17/03/17 01:06:23 INFO mapreduce.Job:  map 75% reduce 25%
17/03/17 01:06:27 INFO mapreduce.Job:  map 76% reduce 25%
17/03/17 01:06:32 INFO mapreduce.Job:  map 77% reduce 25%
17/03/17 01:06:37 INFO mapreduce.Job:  map 78% reduce 25%
17/03/17 01:06:39 INFO mapreduce.Job:  map 79% reduce 25%
17/03/17 01:06:41 INFO mapreduce.Job:  map 79% reduce 26%
17/03/17 01:06:44 INFO mapreduce.Job:  map 80% reduce 26%
17/03/17 01:06:47 INFO mapreduce.Job:  map 80% reduce 27%
17/03/17 01:06:50 INFO mapreduce.Job:  map 81% reduce 27%
17/03/17 01:06:56 INFO mapreduce.Job:  map 82% reduce 27%
17/03/17 01:07:01 INFO mapreduce.Job:  map 83% reduce 27%
17/03/17 01:07:06 INFO mapreduce.Job:  map 84% reduce 27%
17/03/17 01:07:07 INFO mapreduce.Job:  map 84% reduce 28%
17/03/17 01:07:12 INFO mapreduce.Job:  map 85% reduce 28%
17/03/17 01:07:20 INFO mapreduce.Job:  map 86% reduce 28%
17/03/17 01:07:26 INFO mapreduce.Job:  map 87% reduce 28%
17/03/17 01:07:28 INFO mapreduce.Job:  map 88% reduce 28%
17/03/17 01:07:29 INFO mapreduce.Job:  map 88% reduce 29%
17/03/17 01:07:33 INFO mapreduce.Job:  map 89% reduce 29%
17/03/17 01:07:36 INFO mapreduce.Job:  map 90% reduce 29%
17/03/17 01:07:38 INFO mapreduce.Job:  map 90% reduce 30%
17/03/17 01:07:40 INFO mapreduce.Job:  map 91% reduce 30%
17/03/17 01:07:47 INFO mapreduce.Job:  map 92% reduce 30%
17/03/17 01:07:53 INFO mapreduce.Job:  map 93% reduce 30%
17/03/17 01:07:57 INFO mapreduce.Job:  map 94% reduce 30%
17/03/17 01:07:59 INFO mapreduce.Job:  map 94% reduce 31%
17/03/17 01:08:02 INFO mapreduce.Job:  map 95% reduce 31%
17/03/17 01:08:05 INFO mapreduce.Job:  map 96% reduce 31%
17/03/17 01:08:08 INFO mapreduce.Job:  map 96% reduce 32%
17/03/17 01:08:10 INFO mapreduce.Job:  map 97% reduce 32%
17/03/17 01:08:14 INFO mapreduce.Job:  map 98% reduce 32%
17/03/17 01:08:17 INFO mapreduce.Job:  map 99% reduce 32%
17/03/17 01:08:20 INFO mapreduce.Job:  map 99% reduce 33%
17/03/17 01:08:24 INFO mapreduce.Job:  map 100% reduce 33%
17/03/17 01:09:06 INFO mapreduce.Job:  map 100% reduce 100%
17/03/17 01:09:07 INFO mapreduce.Job: Job job_1488988448355_1637 completed successfully
17/03/17 01:09:08 INFO mapreduce.Job: Counters: 51
	File System Counters
		FILE: Number of bytes read=2998
		FILE: Number of bytes written=26502288
		FILE: Number of read operations=0
		FILE: Number of large read operations=0
		FILE: Number of write operations=0
		HDFS: Number of bytes read=36100239488
		HDFS: Number of bytes written=36
		HDFS: Number of read operations=810
		HDFS: Number of large read operations=0
		HDFS: Number of write operations=2
	Job Counters 
		Killed map tasks=2
		Launched map tasks=271
		Launched reduce tasks=1
		Data-local map tasks=270
		Rack-local map tasks=1
		Total time spent by all maps in occupied slots (ms)=28542016
		Total time spent by all reduces in occupied slots (ms)=2007700
		Total time spent by all map tasks (ms)=7135504
		Total time spent by all reduce tasks (ms)=501925
